URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,20.0,37.0,-0.2982456088027086,0.0606382978078316,12.666666666666666,0.4916267942583732,5.263317384370016,12.666666666666666,411.0,833.0,2.8217446270543616,3.0,7.463385354141657
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,8.0,3.0,0.4545454132231443,0.04263565874947419,17.76923076923077,0.5064935064935064,7.310289710289711,17.76923076923077,117.0,230.0,2.9045454545454548,3.0,7.426086956521739
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,36.0,49.0,-0.1529411746712803,0.10216346141566891,11.590909090909092,0.45359477124183006,4.8178015448603695,11.590909090909092,347.0,761.0,2.5294906166219837,12.0,6.8383705650459925
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,12.0,24.0,-0.33333332407407434,0.06206896541022592,13.210526315789474,0.4800796812749004,5.47624239882575,13.210526315789474,241.0,497.0,2.7435897435897436,5.0,7.162977867203219
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,32.0,54.0,-0.2558139505137913,0.10487804865258775,13.875,0.49935649935649934,5.7497425997426,13.875,388.0,777.0,2.7244094488188977,3.0,7.297297297297297
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,25.0,34.0,-0.15254237029589204,0.08613138673557462,14.818181818181818,0.4754601226993865,6.1174567763524825,14.818181818181818,310.0,651.0,2.5965732087227416,6.0,6.932411674347159
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,5.0,0.0,0.99999980000004,0.018248175115882573,25.333333333333332,0.5526315789473685,10.354385964912282,25.333333333333332,126.0,228.0,2.8699551569506725,1.0,7.714912280701754
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,17.0,2.0,0.7894736426592819,0.04025423720285119,12.823529411764707,0.4334862385321101,5.302806260118727,12.823529411764707,189.0,433.0,2.601873536299766,3.0,6.979214780600462
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,33.0,52.0,-0.22352940913494815,0.12022630817506887,17.10810810810811,0.5102685624012638,7.04735066820375,17.10810810810811,323.0,633.0,2.7305194805194803,4.0,7.398104265402844
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,33.0,24.0,0.1578947340720222,0.11874999975260417,13.457142857142857,0.3609341825902335,5.527230815893237,13.457142857142857,170.0,469.0,2.4449244060475164,38.0,6.582089552238806
